,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
NrSal,0.9618070018010894,0.06366396700003159,-0.06897563383519632,-0.19720734341028215,0.0021519213741690844,-0.009960903585381556,0.05875876129245283,-0.022979942053365263,0.09894810829054325,-0.09616272076648577,0.08529182972666066,-0.002918095858539585,0.016609072612697878,-0.05966989026448518,0.00196274670255608,0.07374928098224348,0.03901566569117923,-0.04447377050837379,-0.010793454522190129,-0.016936344906871997,-0.08959737002461245
RS,-0.5109437092693235,-0.029665225004947487,-0.3659150969313087,0.4418895013924309,0.3500844900390101,-0.0661527510039616,-0.19476495770781066,0.3486214785344027,0.30226181165654764,-0.14958067238270356,0.10497940850718568,-0.024826734417733292,-0.06866541629274307,-0.0150817811214679,-0.07626822213053257,-0.09918888919981045,0.021746188916318736,0.014325235170926416,-0.013051462367515112,-0.002906833274056333,-0.007259084489228092
SalN,0.7885994728991313,-0.4572259717813304,0.13105460169822367,0.1656942131702732,0.05745172520376864,-0.12799705361856634,-0.07631526316408872,-0.004843887901981424,0.07087791235188946,0.10433539909458124,0.22143112686786573,-0.02361300398851983,-0.0700735009725638,0.09589703624819355,0.17528243866473192,-0.032304160199177694,-0.046589688291773505,-0.08690811117037803,-0.024445121519084234,0.03935624697535691,0.006420120143065551
SupL,0.4536113240544655,-0.32079075213778474,-0.05389240644430375,-0.7056904449851061,0.013072972850436876,0.08338480381485243,0.17157574756128469,0.1590617841161813,0.3014865024874354,0.004200167820003848,-0.06382819826216818,0.09560512436839465,0.13248696893004402,0.15310522925407619,-0.03228413598464711,-0.0608866132367992,0.04268575892949314,0.01351223995883662,0.022205896602400008,0.02269581375888829,0.008464683430047842
Apa,0.8063555977381016,0.3243791335526574,0.0029756947008840948,0.12645617257953343,0.1859608322259298,0.006257585847455323,-0.2570615178905038,-0.030226824700559513,0.0955601717273457,0.24824629871488835,0.09262507089955418,0.1584329625628964,0.07731631667435852,-0.07458894808720039,-0.1132142995480613,0.11067920819385821,0.0813223778299748,-0.05166489052051967,0.012931998225265254,0.007733918880390213,0.028061937720649768
Gaz,0.5912011093165292,-0.04433531600695983,-0.3018383947805094,-0.26936765489618664,-0.07489545693583409,0.5587361797720553,-0.297214070835982,-0.08424931006468062,-0.08863341432594084,-0.07117005621489385,-0.024735513781503526,0.07962321865957195,-0.26880667657486956,0.043735802131691974,-0.03648680443612973,-0.02253051466851537,-0.003940758702093943,-0.00804142753819364,0.005205912294256149,0.003999760415096856,0.0024713574470618155
Pensia,0.8131960238843416,0.17694931805378153,-0.2315489560473441,0.2597280930837797,-0.015648521486865543,0.211590506681273,0.002186080984995825,0.20457555350116507,-0.06709745734927565,-0.19860338829141239,0.10995602406330761,0.0959701276766827,0.11447735608923713,0.010572674759311862,0.15144597326198767,0.11329782451401643,-0.018592496890829723,0.08849234125779895,0.034626270111422074,0.010695004533392415,0.011019191718881584
Paturi,0.7131771168956356,0.27870896806289847,-0.4085642392255837,0.10595347714734825,0.22113174887424686,-0.03846554755979257,-0.07052209414786482,-0.18370764647569957,0.06551778990120471,-0.16124919571008858,-0.23674060205734887,-0.23233459942434204,0.07821920394978936,0.11927000465768968,-0.021860780449878846,0.0720835177497839,-0.03198717881929024,-0.052321980108954745,-0.018433083220386955,0.012612625329335301,0.015552181234904898
RataAb,-0.04408064182341482,0.34613450260575723,0.5853382936440112,-0.27378618066826754,-0.24114295938009409,-0.022595764357895266,-0.5379710717592359,0.3225196953981003,0.04600210899182081,-0.011263365656834414,-0.08773133402188212,-0.12924354975005614,0.030895810716296504,0.021300186286136884,0.06577254652182311,0.011855053140663827,0.014583154162555852,-0.0027781622560993494,-0.010225590478451316,-0.01084729323003224,-0.00218199024327913
AbsUniv,0.883217393552903,0.17195340997623543,-0.019178260230137006,0.2080620000427492,-0.03170178576765305,-0.2150780248925263,-0.19031763120593534,-0.06748649416896954,-0.08123297772173213,0.016274196067172893,-0.06904669103995686,0.13505876545947396,0.07610522524666191,0.06574081438770078,-0.026787899223863147,-0.15043935730166905,-0.10688234122280156,-0.016039500419386375,0.08279665660104191,-0.030131949284257085,-0.016528174045339388
