,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21
bh,0.2636907434973197,1.4737059067673859,-0.6694916041391827,-1.4818975742376366,0.7630016570894004,-1.9622031024393474,2.231855178406247,-0.3320939747213198,-1.7368433274069426,-1.205646591582718,0.35240232069665073,-0.4353546247132775,0.7036378085927202,-1.4776079257364743,-0.0487985442918562,-0.7793555312355841,0.9647973366249596,-0.6622117524199266,1.0312740932285611,0.9970423784203071,-1.2167084287952696
bn,-0.34860535838608775,0.1061980094160945,0.3600437760271605,-0.8782403918348054,-0.10027532216224685,0.435581524557876,0.19682921637704717,-0.8098755732772037,-1.0945233866758297,1.537410589091265,-0.20103354234507276,-0.5012544086755525,-0.02286512130567868,0.24368646248056025,-0.3279903503062412,-0.7320706495028642,1.6804150040222496,0.6459631878931428,-1.0618130326971846,-0.4934123563350712,-1.4285991689847293
cj,1.569730159393904,0.5085143164736486,-0.6523465951380847,0.5719199171594719,0.022551438958275306,1.0719879366884093,-0.7409031261654134,-2.766264959287295,0.8240038911103258,-0.16074430092982644,-1.352816601685819,-0.08145474723761505,0.4781205223511399,1.3308651951932382,0.05461448490435632,-1.33332698196189,-0.21902671230961285,0.25719301926645793,1.080044055084678,1.1446299023534068,1.5783970715923465
mm,-0.20356157711017753,0.5491265590169544,-0.34537481678428633,0.41347645256910404,-0.8766017851200331,1.060679005013792,0.547461915218865,-0.21396846403648065,-0.7552546302091641,0.33544326344504927,-0.9465771150217329,-0.16116546489027178,0.44718031226646593,0.6133484595231758,-0.41303923371960444,0.8844587520649757,-0.06340395529159665,0.70822494614466,-0.2924149370907687,0.1501236493623687,0.7200241972726033
sm,-0.3899250586899992,0.11557114058311908,-0.5425967457556244,-0.9879231105277844,-1.218136908146395,0.589942882419141,0.815932118789416,-0.414865159017784,0.08984764738689159,1.09177095998293,-0.7123923221362564,0.3504610486065644,-0.5735979184689777,0.27207556002317335,-0.23828043367871884,0.25093523901470605,0.10630885774553016,0.1394687067566254,-0.01681049121836682,-0.5704803256126246,-2.2581379923533675
sj,-0.3884492238069729,0.030745489036236747,-1.0106818754056701,-0.9823299593062771,0.7127124143923766,-0.6386037927405741,0.9597992464601671,-0.05770701916600193,0.6977016209675898,0.5340040265890597,-0.6476133568053606,0.08519761780938387,-1.536155103748972,0.08610541623752886,-0.2610748154304386,1.0040224551577053,-0.8343324323180895,1.4450436910804199,0.8174034470467111,-0.35161008923919435,1.0487745377718771
ab,0.05300352974577343,0.6826609522590941,-1.7555193678417722,-0.6858791316832149,1.3280960488128943,0.9620023985957353,-1.5498245252795178,-1.3776258517252769,0.6620896565414595,0.5877759748357791,2.4589539373640292,0.6013279301394087,-0.5336144537219908,-0.8547309892096213,-1.1548711754647183,-0.376604538821649,1.2435059508460227,1.3481855626546904,-0.7733919807911995,-0.6062460991980784,0.4007857343246443
bv,1.3148040850537763,0.41143439604075677,0.33189192236562814,-0.02112295777847405,0.17446233457824054,1.9833238154839057,-0.9509932498663966,2.1244823820543295,-1.8734141356824077,-1.2222049652771376,0.20942587574812768,1.5392519446700514,0.382868797837979,-1.7180779285148788,-0.2463966324926676,-0.7497599282045817,-2.057595685372463,0.2811885438954834,1.0703580107480768,-0.48911552878466324,0.12894393354546677
cv,-0.2164443158779356,1.2660468164823615,-1.1567384025073504,-0.8530320010012519,1.7410170431190894,-0.28934684424955587,-0.16913096004190145,0.7284078019884335,-0.22212219627274374,-2.381300980078409,-1.1283082149528205,-1.0698767309535957,-0.3643489657755043,-0.08989215270622417,-0.23673347007434045,1.043551459218899,0.01780819529608381,-1.5689105872660607,-0.975814970842345,0.4476507414283969,1.522495511346364
hr,-0.31503990659986475,0.5251644277013662,-1.189197579065928,-0.00520250911948638,0.0631477467634755,0.712261304040657,1.0577576060312406,0.563100572108865,1.5797890726770707,0.5676886960793678,-0.8176182560537171,-0.4024984819734231,0.9769647932477359,-0.5300164958692192,-0.34196889895518484,0.33304408684011594,-1.1370192816186433,1.3151966888576903,-0.2481737507689988,-1.3666905437454984,-0.07485138956686753
ms,0.14677161946597064,0.6640681494067917,-0.9802825027581761,-0.6531442468945647,0.11027515860490777,0.81032280553615,0.056647746606848924,-0.3607137900557411,-0.05198372633928104,-0.15714780087483424,-1.184347800422212,-0.14112340714680027,-3.237608213581649,0.278552054066919,0.515721011936204,-0.20606168711252504,-1.3873332338148072,0.022172189293993595,-0.3492250933261917,2.153911044739633,-0.6319290529344085
sb,1.1143957199816927,1.1288647929315732,-0.30499047393527134,-1.3174274860668491,-0.45562589038591284,1.1550636330270652,-2.5676659278616842,1.1413239779443625,-0.4935060164940422,2.0204817853123194,-0.09650001980312296,0.8665315676380363,-0.021345596456457845,0.4586134209219566,-0.08219314878628678,0.13561631813419167,0.7137610263293017,-1.7666332010764585,1.4918239185534874,0.05445103418122035,-1.0298531664238069
bc,-0.23927041991802023,-0.11618500726848625,0.3434264644371566,0.8991299984614498,-1.4016050302409342,0.28837665905472276,-0.48032232651355244,1.3876706035583621,-0.8769268869006961,0.4667968883056425,0.4427569268843149,-1.333605318871957,-0.5505059748951014,0.7423677562134583,1.8167822964830376,-0.5741489046667644,1.587394257293434,-0.23395202336507,-0.29859503236416435,-0.40236111262516017,0.4958958225902094
bt,-1.1567052512758471,0.34965848076488887,0.010949482909800835,0.08238189701782185,-0.458507810898939,-0.18892154499955555,-0.36709891710273534,-1.9373471347483386,-0.7920163012275092,0.6672829080570856,-0.6670260429175441,-1.3476010423471114,0.06947638175083459,-0.1136675795402285,1.725798489690344,0.08816137945865363,-1.3242595197141962,0.18326119970661628,-0.663756555906124,-1.0762528457203115,0.3895741396446333
is,0.3916998969727378,-0.44189155239367073,0.3372740691725551,2.3163603642804826,0.307187336009096,-0.6409553067286499,-1.2459496479766559,-1.4863007773119776,-0.727820030888368,-1.0112724841561949,-2.3709953691807018,0.038760111955878,0.17130844211925994,0.10952226948050678,0.18505351746801715,-0.07352804239800761,0.8544963210439738,-0.8966122853716119,1.899204621364864,-0.6170532650416161,-0.8928884420981796
nt,-0.5364300563990357,0.18926372012161544,-0.022829198856894255,0.5752072703246986,-1.4081990580986476,0.6311661314165452,1.0463253259967047,0.3147037334296189,-1.390735767401115,0.2336660740842807,-0.0012197059788554376,-0.7752065221997172,0.29702721393021403,-0.12010909161225634,-0.20220297571817172,-0.9359534801145352,1.5105251971013542,0.27829818108377635,-0.08271761480173107,0.8851183097944163,1.7367527034416599
sv,-0.6627811016233376,-0.5707101519387779,0.11442937562136851,0.3435514452667592,-0.04034294344875796,0.15991692017506687,0.9672989496426211,-0.5092893347603447,-1.2018400845933508,0.4423572100375933,-0.13629355646029392,0.2501060743930128,1.389124424896793,-0.5230511803372988,-0.7631105602596778,-1.2843028673309638,-1.6103216706670485,0.33638177158565313,0.6501501928130624,0.5063525064911052,0.410355995184688
vs,-1.1140761386368445,0.043693619948543996,-0.8257085859386257,1.445547580232943,-0.6974151098063041,-0.04118366278618725,-0.5096423544619145,0.9696942409470714,1.6685845188497308,-0.20185633253022875,-0.27746429534525285,-2.132856668418927,-1.4064018519074333,-1.2556008224214468,-1.3601580968279012,-2.1037139982198547,-0.7391892374686546,-0.9120724808464802,-0.17449860850772833,-0.5113663480359909,-1.0696393856377289
br,-0.4757019643434113,-0.02700690835975691,-0.043886656662639814,0.18404539654148347,-0.8368864149105677,0.48036953534366583,-0.6281832078692257,-1.5869549153014626,-0.2220064813849547,-0.9718660522491362,2.139610938638289,-0.15781101876702092,1.4523925401634563,-0.0299237697388444,-1.9712056748290927,1.910727847542963,-0.8968887782602689,-0.6997777687968347,-0.5293592307417139,1.768129828446024,-0.6112962359641483
