,No. of primary education enrollments,No. of lower secundary education enrollments,No. upper secondary education enrollements,No. of Bachelor education enrollments,No. of Master's education enrollments,Precentage of persons at risk of poverty or social exclusion,Unemployment rate (precentage of total labor force)
Belgium,823725.0,440421.0,734308.0,371661.0,110164.0,20.3,5.8
Bulgaria,248354.0,198514.0,274024.0,147944.0,72224.0,33.6,6.1
Czechia,571922.0,439486.0,394406.0,190673.0,105834.0,11.5,2.6
Denmark,452253.0,243090.0,286916.0,194534.0,68770.0,16.8,5.6
Estonia,89702.0,42755.0,45779.0,27471.0,15099.0,22.8,6.9
Ireland,570381.0,215239.0,227586.0,167763.0,36800.0,20.1,5.9
Greece,625523.0,332800.0,344001.0,687121.0,84077.0,27.4,17.6
Spain,3006992.0,1702246.0,1770354.0,1224186.0,365556.0,27.0,15.5
France,4279257.0,3446350.0,2710922.0,1116575.0,1018720.0,19.3,8.0
Croatia,156627.0,176472.0,148181.0,93233.0,64498.0,20.5,7.5
Italy,2762544.0,1777516.0,2858684.0,1227227.0,752079.0,24.9,9.3
Cyprus,59195.0,28267.0,27655.0,24046.0,22083.0,17.6,7.6
Latvia,120051.0,58130.0,59313.0,44856.0,18632.0,25.1,8.1
Lithuania,118616.0,164579.0,59681.0,77130.0,26591.0,24.5,8.5
Luxembourg,40098.0,23263.0,26596.0,3056.0,2661.0,19.9,6.8
Hungary,358766.0,393848.0,407753.0,184868.0,79631.0,19.4,4.1
Malta,27035.0,13307.0,17665.0,8891.0,5693.0,19.9,4.4
Netherlands,1161942.0,771962.0,839691.0,695419.0,195384.0,16.0,4.9
Austria,343981.0,341516.0,351565.0,196271.0,134423.0,16.7,6.0
Poland,1333675.0,1744202.0,1614772.0,917005.0,439159.0,17.0,3.2
Portugal,601972.0,348892.0,393340.0,216142.0,125087.0,20.0,7.0
Romania,904077.0,718564.0,719050.0,349414.0,171909.0,35.6,6.1
Slovenia,134199.0,58811.0,89014.0,41933.0,20827.0,14.3,5.0
Slovakia,232979.0,262951.0,179587.0,78538.0,50913.0,13.8,6.7
Finland,373173.0,186665.0,327235.0,204676.0,72794.0,15.9,7.7
Sweden,892231.0,398179.0,549404.0,256655.0,143164.0,17.7,8.5
