,No. of primary education enrollments,No. of lower secundary education enrollments,No. upper secondary education enrollements,No. of Bachelor education enrollments,No. of Master's education enrollments,Precentage of persons at risk of poverty or social exclusion,Unemployment rate (precentage of total labor force)
Belgium,0.04273911337874276,-0.15408591776769903,0.18256209778922133,0.09284519293839978,-0.219146373712487,-0.06725384571394712,-0.41920458945046724
Bulgaria,-0.5242823010662244,-0.46903916233672066,-0.41855912904728043,-0.4967916975708054,-0.38065063732910015,2.3058461387638984,-0.32470182073041975
Czechia,-0.20540980831089067,-0.15530325039417134,-0.2613427679983807,-0.38417354743215776,-0.23757846283900083,-1.6374252640150782,-1.427234122464308
Denmark,-0.3233422130466434,-0.4110029921146572,-0.40172244809296487,-0.3739973514602109,-0.39535374029514603,-0.6917538416291696,-0.48220643526383233
Estonia,-0.6806319979479285,-0.6718311543866665,-0.7166423003486886,-0.8143148411419934,-0.6238222519600708,0.37881757993978327,-0.07269443747695939
Ireland,-0.2069284458502517,-0.4472638808631921,-0.4792061807193643,-0.44455600009139196,-0.5314447078181593,-0.10293955976624543,-0.3877036665437846
Greece,-0.15258664754042311,-0.2942041579747318,-0.3271706382669407,0.9242833647359558,-0.3301943896578372,1.1995890031426468,3.29790431353807
Spain,2.1943232954995313,1.4887597949578761,1.5356163916144472,2.3397919608700284,0.868014851737541,1.12821757503805,2.636384932497737
France,3.4481256245165066,3.759513488178035,2.7639784248008166,2.0561683854395243,3.64842525871913,-0.24568241597543927,0.2738157144965482
Croatia,-0.6146781904711363,-0.4977369652807875,-0.5829074412823047,-0.64099005494485,-0.41353893307770195,-0.03156813166164882,0.11631109996313559
Italy,1.9534226405860176,1.5867583262889673,2.956952490203514,2.3478069341802303,2.513378913041815,0.7535175774889163,0.6833277122834212
Cyprus,-0.7106962908832217,-0.6906939512768597,-0.7403118633037006,-0.8233418992108662,-0.5940925266807238,-0.5490109854199758,0.147812022869818
Latvia,-0.6507234121711162,-0.6518135189513599,-0.6989671808919939,-0.7684942850756126,-0.6087828591462201,0.7892032915412153,0.30531663740323056
Lithuania,-0.6521375879459267,-0.5132211758975095,-0.6984865806289481,-0.6834317238742104,-0.5749027211882701,0.6821461493843198,0.43132032902996076
Luxembourg,-0.7295161618041676,-0.6972089592585361,-0.7416948950389333,-0.8786639280767469,-0.6767687472384954,-0.13862527381854436,-0.10419536038364208
Hungary,-0.41547256193843085,-0.21472210216630283,-0.24391186661013609,-0.3994734224948751,-0.3491202714722669,-0.22783955894929042,-0.9547202788640701
Malta,-0.7423895960524954,-0.7101712733004166,-0.7533585932706268,-0.8632849838922584,-0.6638620280164192,-0.13862527381854436,-0.8602175101440224
Netherlands,0.37604802489728206,0.27756721197909623,0.3201900801820724,0.9461538838178557,0.14362097856499775,-0.8344966978383634,-0.7027128956106097
Austria,-0.4300430071165313,-0.282856274367959,-0.3172922132949858,-0.36941924930966136,-0.11587984943532785,-0.7095966986553192,-0.35620274363710214
Poland,0.5452888948175205,1.5433848299057606,1.332429570622024,1.5301742310439168,1.1813305690536606,-0.6560681275768714,-1.2382285850242125
Portugal,-0.17579588354917822,-0.2732530171991251,-0.2627349415864431,-0.31704649868584456,-0.15562164714552026,-0.12078241679239489,-0.04119351457027699
Romania,0.12192507286137572,0.2080451503872588,0.1626354705784746,0.034210167870308006,0.04369181176478707,2.662703279286883,-0.32470182073041975
Slovenia,-0.6367807230686633,-0.650926884172079,-0.6601782993356702,-0.7761982531735148,-0.5994391095774677,-1.1378252672829,-0.6712119727039273
Slovakia,-0.5394341843677662,-0.3851447639923402,-0.5418918655724664,-0.6797207464257511,-0.47136801639957043,-1.2270395524136462,-0.1356962832903245
Finland,-0.40127463135467073,-0.48446608671219693,-0.3490666817729952,-0.34726671702677775,-0.3782242422246861,-0.8523395548645126,0.17931294577650067
Sweden,0.11025097792868867,-0.20908331328368085,-0.05891863872774758,-0.21026892100869252,-0.0786708676674624,-0.531168128393827,0.43132032902996076
