,VULNERAB,PredictionVULNERAB
5,E,E
6,B,B
7,F,B
8,G,A
9,B,B
10,B,B
11,E,F
12,B,B
14,A,B
16,B,A
17,B,B
19,B,B
21,B,B
22,B,B
23,B,B
24,B,B
25,B,B
28,A,B
29,B,A
30,B,B
31,B,B
32,B,B
35,B,B
36,B,B
37,B,B
38,B,B
39,B,C
40,B,E
41,C,D
42,B,B
43,B,B
45,B,B
46,B,B
47,A,B
48,A,B
49,B,B
50,B,B
51,B,B
53,D,B
54,B,B
55,A,B
56,B,B
57,B,B
58,B,B
59,B,B
60,B,B
61,B,B
62,A,B
64,A,A
65,A,A
67,A,A
68,B,B
69,B,B
70,A,B
71,A,A
72,A,B
73,A,B
74,A,B
75,B,B
76,A,B
77,B,B
83,A,B
84,B,B
86,B,A
87,A,B
88,A,B
89,A,A
90,A,A
91,B,B
93,A,B
94,B,B
95,B,E
96,G,B
97,B,B
98,B,E
99,A,B
101,A,B
102,A,B
103,A,B
104,C,B
105,A,B
106,B,B
107,B,B
108,B,B
109,B,B
110,A,B
111,B,B
112,B,B
113,B,B
114,G,B
115,B,B
116,B,B
117,B,B
118,B,B
120,B,B
122,B,B
123,B,B
126,B,B
127,B,B
128,B,B
129,D,B
130,C,B
131,B,B
132,E,E
133,B,B
134,A,B
135,A,B
136,B,B
137,B,B
138,C,B
139,B,B
140,D,B
141,B,A
142,B,B
143,B,B
144,B,B
145,C,D
146,G,B
147,B,B
148,B,B
149,C,B
150,B,B
151,C,D
152,C,B
153,A,B
154,A,B
155,B,B
156,B,B
157,B,B
158,B,B
160,B,B
161,B,B
162,B,B
163,B,A
164,A,B
165,A,B
166,A,B
167,B,B
168,B,B
169,B,B
170,B,B
171,B,A
173,B,B
174,B,B
175,B,B
176,D,B
177,D,B
178,B,B
179,B,B
180,B,B
181,B,B
182,A,B
183,A,B
184,A,B
185,B,B
186,A,B
187,A,B
188,A,B
189,A,B
190,A,B
191,B,B
192,D,B
193,B,B
194,B,B
195,B,B
198,D,D
199,B,B
200,B,B
201,B,D
202,C,E
203,B,B
204,B,B
205,B,A
206,B,B
207,B,B
208,B,B
209,E,B
210,F,B
211,B,B
212,B,B
213,B,B
214,A,A
215,B,B
216,B,E
218,B,B
219,B,B
220,G,B
221,C,B
222,B,B
223,B,B
224,B,D
225,D,D
226,B,B
227,A,B
228,B,B
229,B,B
230,G,B
231,B,B
233,A,B
234,D,B
235,B,B
236,B,B
237,B,B
238,C,B
239,B,B
240,B,B
241,A,A
242,B,B
243,A,B
244,B,B
245,B,B
247,B,B
248,B,B
249,B,B
251,C,E
252,E,B
253,A,B
254,B,B
255,A,B
256,A,B
257,B,B
258,C,B
259,A,B
260,A,A
261,A,A
262,B,B
263,B,B
264,B,B
265,B,B
267,B,B
268,B,B
269,C,B
271,B,B
272,B,B
273,B,B
274,B,B
275,B,B
276,B,B
277,B,B
278,B,B
279,B,B
280,B,B
282,B,B
283,B,A
284,B,B
285,B,B
286,A,B
287,B,B
288,D,B
289,B,B
290,B,D
291,B,B
293,C,B
294,C,B
295,B,B
296,G,G
297,B,B
298,B,B
299,B,B
300,B,B
301,B,B
302,B,B
305,C,D
306,B,B
307,B,B
308,B,B
309,B,B
310,A,B
312,A,A
313,B,B
314,A,B
315,D,B
316,D,D
317,E,B
318,B,B
319,B,B
320,A,B
321,B,B
322,B,B
323,B,A
324,B,B
325,A,B
326,A,B
327,A,B
328,A,A
329,B,B
331,A,A
332,B,B
333,B,B
336,B,A
338,B,A
339,B,A
340,B,A
341,E,B
342,B,B
343,B,B
344,B,B
345,B,B
346,B,B
347,D,B
348,B,B
349,B,B
350,B,B
