,Thermal,Nuclear,Hydro,Other
AT,-0.8914283045003186,-0.7482517221329312,1.3747921245768695,-0.31485400119597734
BE,-0.27612783709260463,1.8636882672193265,-0.7514665878998479,0.27391944202962154
BG,-0.4526219185332383,0.7745052546579058,0.1665152621879615,-0.30632105274343235
CH,-2.086406580676352,0.7050688283567329,2.01465917266992,-0.8304878862569055
CY,1.5094579272070174,-0.7482517221329312,-1.06734004184426,-0.2112396271293606
CZ,0.08050355224041911,0.8205270720900785,-0.6227623656628575,0.38850474982093886
DE,-0.3077024663411584,0.3045982766662476,-0.7823231206759088,2.815519088251927
DK,0.6217250817957568,-0.7482517221329312,-1.0644979927727807,2.4534782753368067
EE,1.5819176533030577,-0.7482517221329312,-1.058407887619611,-0.4550381543449294
EL,0.5395500851617002,-0.7482517221329312,-0.2565440424522409,0.2751384346656993
ES,-0.2915103487777976,-0.15965689918461723,-0.32800127624943426,2.1036273887824657
FI,0.2841194305996821,0.5597367733077665,-0.30242283460612074,-0.7914801219024145
FR,-1.3678813638022127,3.346075228718784,-0.2366496989518858,-0.22221056085406118
HR,-0.4311673627617851,-0.7482517221329312,1.0418663762035818,-0.7000556741965761
HU,0.694994413769965,1.0433695564984937,-1.0433856282417917,-0.5354916683260672
IE,0.7314266782875266,-0.7482517221329312,-0.814803681492815,1.373450799771837
IT,0.5395500851617002,-0.7482517221329312,-0.24679987420716895,0.24588261139983106
LT,0.5771967584965146,-0.7482517221329312,-0.07099883878566461,-0.39408852254103727
LU,-1.0861385181997334,-0.7482517221329312,1.6049980993666915,-0.41724938262651623
LV,-0.7930611903029012,-0.7482517221329312,1.4348811620881459,-0.7914801219024145
MT,1.749506070083843,-0.7482517221329312,-1.06734004184426,-0.9341022603235223
NL,1.3030084282741663,-0.5940382637198612,-1.0616559437013016,0.16055312687438203
NO,-2.100979486483377,-0.7482517221329312,2.734509601774602,-0.7536913501840012
PL,1.3309398310709637,-0.7482517221329312,-0.7823231206759088,-0.5293967051456779
PT,-0.18626158461595171,-0.7482517221329312,0.025630829644631224,1.6135923490791724
RO,0.06754985818973039,-0.17580490530116907,0.2525887483527626,-0.6963986962883426
SE,-1.3310442963455669,1.2395678308145983,0.796232135025729,-0.25512336202816294
SI,-0.6999565143135759,0.9359853158234239,0.5270494872556196,-0.8877805401525642
SK,-0.5011982712233211,1.117650384634632,0.2298523557809284,-0.8694956506113964
TR,0.33998223619327755,-0.7482517221329312,0.23066436980135105,-0.5854703664052588
UK,0.8520579541345654,0.1907548335445574,-0.8765167470449365,-0.22221056085406118
