,u1,u2,u3,u4
AT,-2.1767053328109283,0.6400370242994406,0.14411108012570825,0.0002696189848922114
BE,1.7510685867050977,-0.18832568840053374,0.42025948342024994,0.00033056925549685453
BG,0.3165145124514888,-0.24646285398847267,0.39731800709949205,0.0001442707836154149
CH,-1.1009957240150174,-1.0361030581589241,0.3661465766144221,0.0003260273257281012
CY,0.20962391579059667,0.7599957339705955,0.23661262035484193,-0.00035056389456574496
CZ,1.0038566497297883,0.0481663094973447,0.05146449438432528,0.00015102455782426967
DE,1.1497774748982352,0.07773215982118717,-1.9078606104821056,0.00043497395539271547
DK,0.6115492641681091,0.5447461294460857,-1.8184668365146848,0.00010780767320747953
EE,0.8282661948248617,-0.22213721706873388,0.04184886558837495,-0.0006505853761579502
EL,-0.28397118929013276,0.34715511117992026,-0.3220012077149413,-0.00014132335380734036
ES,0.4237827475119029,0.0611876026692348,-1.5737443864942289,0.00028549956737021785
FI,1.0940679678304943,-0.9261117293651426,0.44512583638376496,-0.0003164142797872929
FR,2.274181065061949,-0.8192918498076015,1.0432851763071374,0.0006365654688195852
HR,-1.3402963941812855,-0.17314069963957887,0.13578923325817552,-0.00010768348862482923
HU,1.302205315006299,0.2511045324536211,0.9127903942103709,-2.6129594749155883e-05
IE,0.2731274815482,0.5163436491096103,-1.042340977748279,-3.909733180206285e-05
IT,-0.2952238050295635,0.3450117083067494,-0.30165248699767905,-0.00014484081544414353
LT,0.1466079142211777,-0.6822436618476276,-0.2287684975350204,-0.00048708323956220457
LU,-1.029609413149812,-1.4530484206289094,-0.5904887540278198,-0.00023131860496945335
LV,-2.2909963212970186,0.6506012885344359,0.49796992564381354,0.00019702346117716902
MT,0.10005348019978266,0.8180314367037276,0.7939229708992641,-0.0004747876583561725
NL,0.36171948821909433,0.6824326066180483,-0.01416737764805263,-0.00025338809695713926
NO,-2.5327805708495936,-0.9491729924231928,-0.20620566684156041,0.00014542388630776288
PL,-0.03803016694368086,0.6541414277533621,0.41735424503063323,-0.0003610673880280068
PT,-0.2785300568748325,0.1096084766196592,-1.4178246332203395,0.00013242088113930349
RO,-0.4173254353277827,0.023049812343497976,0.44962975940778355,-0.00010909770710524483
SE,-0.47747185631608546,0.3207176799260624,0.7079687865098477,0.0006078873361144726
SI,0.08052515774791598,-0.41321021967269744,0.802858167308598,0.00013415165686075375
SK,-0.2531314903935413,0.6668036190360155,1.280537627328543,0.00038891392522144564
TR,-0.09347729067554754,-0.8059504694397053,-0.14953766354920625,-0.00047322061067936325
UK,0.6816178312388068,0.3983325521546672,0.42806584889886823,-0.0001255772785713282
